                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.35525,                0.21161,                0.79889,                0.99839,                      1,                  0.995,                 0.9029,                0.32876,                0.18237,                0.76659,             0.00089525,             0.00089525,             0.00089525
                     89,                0.36112,                0.21367,                0.79612,                0.99857,                      1,                  0.995,                0.90473,                0.30792,                0.16662,                0.76522,             0.00089112,             0.00089112,             0.00089112
                     90,                0.35406,                0.21276,                 0.8015,                0.99848,                      1,                  0.995,                0.88996,                0.32748,                0.18154,                 0.7674,               0.000887,               0.000887,               0.000887
                     91,                0.36564,                0.21247,                0.79784,                0.99872,                      1,                  0.995,                0.91467,                0.30574,                0.17381,                 0.7638,             0.00088288,             0.00088288,             0.00088288
                     92,                0.35441,                0.20998,                0.79531,                0.99865,                      1,                  0.995,                0.90731,                0.31668,                0.17086,                0.76627,             0.00087875,             0.00087875,             0.00087875
                     93,                0.36304,                0.21191,                0.79857,                0.99844,                      1,                  0.995,                 0.9029,                0.32798,                0.18987,                0.76614,             0.00087462,             0.00087462,             0.00087462
                     94,                0.36174,                0.21253,                0.79996,                0.99874,                      1,                  0.995,                0.90796,                0.32011,                0.16887,                0.76525,              0.0008705,              0.0008705,              0.0008705
                     95,                0.36099,                0.21229,                0.79334,                 0.9991,                      1,                  0.995,                0.89849,                0.32582,                0.17509,                 0.7655,             0.00086637,             0.00086637,             0.00086637
                     96,                 0.3547,                0.20885,                0.79933,                0.99845,                      1,                  0.995,                0.89863,                 0.3206,                0.17222,                0.76539,             0.00086225,             0.00086225,             0.00086225
                     97,                0.36406,                0.21111,                    0.8,                0.99869,                      1,                  0.995,                0.88997,                0.33213,                0.17083,                0.76891,             0.00085813,             0.00085813,             0.00085813
                     98,                 0.3525,                0.20782,                0.80241,                0.99857,                      1,                  0.995,                0.89111,                0.32783,                0.17466,                0.76764,               0.000854,               0.000854,               0.000854
